,City,ID,Latitude,Longitude,Max Temp,Humidity,Wind Speed,Cloudiness
0,Katsuura,2112309,35.1333,140.3,46.4,49,24.16,20
1,Rāyagada,1258289,19.1667,83.4167,60.73,86,0.96,0
2,Coahuayana Viejo,4013679,18.7333,-103.6833,84.2,51,9.22,40
3,Norman Wells,6089245,65.282,-126.8329,-2.2,84,6.91,20
7,Chumikan,2025256,54.7183,135.315,-24.61,75,23.53,0
12,De-Kastri,2126018,51.4667,140.7833,-15.41,87,3.87,68
13,Yellowknife,6185377,62.456,-114.3525,5.0,92,6.91,90
14,Olafsvik,3414079,64.8945,-23.7142,32.7,88,13.47,3
15,Barrow,5880054,71.2906,-156.7887,-2.2,71,14.97,90
16,Hilo,5855927,19.7297,-155.09,80.6,57,8.05,40
20,Meulaboh,1214488,4.1363,96.1285,77.29,84,4.05,77
21,Sur,286245,22.5667,59.5289,67.8,62,3.15,0
22,Nanortalik,3421765,60.1432,-45.2371,27.95,84,6.26,100
23,Lagoa,3372964,39.05,-27.9833,61.57,84,23.78,99
24,Bethel,5282297,41.3712,-73.414,41.0,52,10.36,90
26,Lompoc,5367788,34.6391,-120.4579,77.0,27,8.05,1
29,Bristol,4931378,41.8334,-71.1662,44.01,57,4.0,30
30,Nikolskoye,546105,59.7035,30.7861,15.8,92,4.27,81
33,Greiz,2917737,50.65,12.2,34.0,79,3.0,100
34,Ternate,1624041,0.8,127.4,80.73,75,4.47,100
38,Butaritari,2110227,3.0707,172.7902,80.38,82,17.69,49
39,Ola,2122574,59.5833,151.2833,-7.35,81,16.82,100
41,Ribeira Grande,3372707,38.5167,-28.7,62.6,88,21.85,75
42,Ballesteros,1727962,18.4126,121.5152,72.28,89,18.25,100
44,Fairbanks,5861897,64.8378,-147.7164,37.4,44,11.5,90
46,Cho Dok,1585660,10.7,105.1167,66.34,90,2.08,76
47,Cherskiy,2126199,68.75,161.3,-43.2,79,3.44,51
48,Hue,1580240,16.4667,107.6,59.0,94,4.61,75
50,Cayenne,3382160,4.9333,-52.3333,80.6,78,10.36,75
52,Berat,3186084,40.7058,19.9522,33.12,82,3.15,2
53,Jamestown,5122534,42.097,-79.2353,30.0,93,10.36,90
54,Mehamn,778707,71.0357,27.8492,32.0,80,24.16,20
56,Uusikaupunki,633221,60.8004,21.4084,30.2,93,4.61,90
58,Tagāb,1123424,34.855,69.6492,33.8,69,2.3,75
60,Riyadh,108410,24.6877,46.7219,62.6,29,5.75,0
61,Madanapalle,1264621,13.55,78.5,61.84,92,1.54,0
62,Dikson,1507390,73.5069,80.5464,-20.27,84,18.52,2
64,Cockburn Town,3576994,21.4612,-71.1419,78.8,69,8.05,75
65,Saint George,5546220,37.1041,-113.5841,61.0,17,4.61,1
66,Kapaa,5848280,22.0752,-159.319,70.0,73,24.16,20
