,City,ID,Latitude,Longitude,Max Temp,Humidity,Wind Speed,Cloudiness
0,Albany,5106841,42.6001,-73.9662,37.99,77,5.46,100
1,Bluff,2206939,-46.6,168.3333,63.01,79,15.84,13
2,Gardabani,614575,41.4605,45.0928,39.2,81,14.97,40
3,Cidreira,3466165,-30.1811,-50.2056,76.05,80,20.78,86
4,Castro,3466704,-24.7911,-50.0119,61.77,98,5.35,35
5,Port Elizabeth,964420,-33.918,25.5701,66.2,82,21.85,0
6,Camacha,2270385,33.0833,-16.3333,57.2,82,8.05,40
7,Berlevåg,780687,70.8578,29.0864,36.18,82,22.44,99
8,Vestmanna,2610343,62.1564,-7.1664,42.8,93,34.52,75
9,Sola,2134814,-13.8833,167.55,82.11,80,14.85,100
10,Fonte Boa,6319315,-2.4959,-66.2662,73.65,98,1.86,57
11,Samarai,2132606,-10.6167,150.6667,86.54,71,11.45,99
12,Bengkulu,1649150,-3.8004,102.2655,85.21,59,6.55,94
13,Mar del Plata,3430863,-38.0023,-57.5575,69.01,94,4.72,90
14,Cape Town,3369157,-33.9258,18.4232,68.0,94,9.22,75
15,Kawalu,1640902,-7.3817,108.2082,87.93,46,5.73,91
16,Hobart,2163355,-42.8794,147.3294,59.0,44,23.02,75
17,Xining,1788852,36.6167,101.7667,16.45,88,2.75,100
18,Asău,686090,46.4333,26.4,21.2,73,3.44,0
19,Alindao,240999,5.0267,21.2088,72.55,33,2.01,46
20,New Norfolk,2155415,-42.7826,147.0587,60.01,49,4.0,91
21,Goderich,5962442,43.7501,-81.7165,33.8,93,9.22,100
22,Río Gallegos,3838859,-51.6226,-69.2181,51.8,76,19.57,40
23,Mumford,2297810,5.2618,-0.759,78.55,86,8.7,15
24,Ushuaia,3833367,-54.8,-68.3,51.8,76,4.61,40
25,Novi Sanzhary,698927,49.3439,34.3108,7.16,95,6.89,49
26,Ipiaú,3461129,-14.1372,-39.7339,69.33,95,0.38,68
27,Kaitangata,2208248,-46.2817,169.8464,66.0,83,11.01,14
28,Coxim,3465228,-18.5067,-54.76,74.59,80,4.27,100
29,Tasiilaq,3424607,65.6145,-37.6368,32.0,86,13.8,75
30,Punta Arenas,3874787,-53.15,-70.9167,51.8,82,2.3,20
31,Datong,2037799,40.0936,113.2914,16.39,57,17.0,3
32,Thompson,6165406,55.7435,-97.8558,5.0,85,2.3,75
33,Esperance,2071860,-33.8667,121.9,73.4,38,17.27,40
34,Dikson,1507390,73.5069,80.5464,-34.04,79,6.04,78
35,Jaciara,3460355,-15.9653,-54.9683,72.39,93,3.6,100
36,Bambous Virieux,1106677,-20.3428,57.7575,84.99,76,8.99,29
37,Rikitea,4030556,-23.1203,-134.9692,79.18,72,4.05,55
38,Saint-Philippe,935215,-21.3585,55.7679,84.2,74,4.61,0
39,Anaconda,5637146,46.1285,-112.9423,33.01,86,4.61,20
40,Barra dos Coqueiros,3470674,-10.9089,-37.0386,78.8,78,11.5,40
41,Mount Gambier,2156643,-37.8333,140.7667,59.0,88,18.41,75
42,Chiquimula,3598465,14.8,-89.55,67.93,87,2.75,77
43,Ancud,3899695,-41.8697,-73.8203,54.0,93,2.3,75
44,Richards Bay,962367,-28.783,32.0377,79.59,80,15.9,49
45,Mataura,6201424,-46.1927,168.8643,78.03,50,4.9,0
46,Avarua,4035715,-21.2078,-159.775,80.6,78,8.05,40
47,San Quintín,3984997,30.4833,-115.95,63.3,39,1.72,0
48,Baykit,1510689,61.67,96.37,-25.8,78,1.88,6
49,Bethel,5282297,41.3712,-73.414,36.0,93,11.5,90
50,Kavieng,2094342,-2.5744,150.7967,84.58,71,14.56,92
51,Busselton,2075265,-33.65,115.3333,82.0,31,3.0,0
52,Galle,1246294,6.0367,80.217,84.02,67,2.26,91
53,Khani,610864,41.9563,42.9566,39.2,100,10.36,90
54,Eyl,60019,7.9803,49.8164,78.96,60,15.19,39
55,Norman Wells,6089245,65.282,-126.8329,-2.2,84,6.91,90
56,Tiksi,2015306,71.6872,128.8694,-14.3,90,3.04,100
57,Codrington,2171099,-38.2667,141.9667,61.0,79,20.0,100
58,Naze,1855540,28.3667,129.4833,66.2,77,14.97,75
59,Jamestown,5122534,42.097,-79.2353,32.0,100,3.13,90
60,Vaitape,4033077,-16.5167,-151.75,81.54,76,12.41,0
61,Barrow,5880054,71.2906,-156.7887,-5.8,77,17.27,75
62,Umluj,100926,25.0213,37.2685,67.84,49,6.71,1
63,Lázaro Cárdenas,4026082,17.9583,-102.2,73.09,79,4.83,76
64,Port Augusta,2063056,-32.5,137.7667,81.0,49,23.02,78
65,Auki,2109701,-8.7676,160.7034,84.97,68,6.22,99
66,Hasaki,2112802,35.7333,140.8333,64.4,48,17.27,20
67,Ust-Kuyga,2013921,70.0167,135.6,-23.76,84,1.1,100
68,Bognor Regis,2655262,50.7821,-0.6798,41.0,91,8.01,100
69,Den Helder,2757220,52.9599,4.7593,36.0,87,6.91,90
70,Turukhansk,1488903,65.8167,87.9833,-23.69,80,16.33,91
71,Saint Paul Harbor,5866583,57.79,-152.4072,37.4,93,12.66,90
72,Mpanda,153176,-6.3655,31.0409,68.0,87,3.29,76
73,Santa Isabel Rio Negro,3662489,-0.4139,-65.0192,72.79,94,1.95,100
74,East London,1006984,-33.0153,27.9116,68.0,73,16.11,0
75,Muroto-misakicho,1856392,33.2833,134.15,64.4,42,18.41,20
76,Padang,1633419,-0.9492,100.3543,87.8,62,4.61,40
77,Aswān,359792,24.0934,32.907,56.48,40,5.35,19
78,Kapaa,5848280,22.0752,-159.319,73.4,88,5.75,90
79,Vermillion,5232592,42.7794,-96.9292,28.0,86,20.71,90
80,Shaoxing,1795855,30.011,120.5715,46.4,49,8.95,75
81,Cockburn Town,3576994,21.4612,-71.1419,77.54,82,10.25,100
82,Fairbanks,5861897,64.8378,-147.7164,9.0,85,2.89,20
83,Yellowknife,6185377,62.456,-114.3525,8.6,85,10.36,90
84,Severo-Kuril'sk,2121385,50.6789,156.125,25.83,91,11.92,87
85,Hithadhoo,1282256,-0.6,73.0833,81.72,78,13.6,97
86,Chilca,3943957,-12.5211,-76.7372,68.0,88,10.36,0
87,Gimli,5961417,50.6336,-96.9907,8.6,85,6.91,97
88,Raudeberg,3146487,61.9875,5.1352,30.0,74,9.75,0
89,Paamiut,3421193,61.994,-49.6678,23.58,95,13.67,92
90,Avera,4231997,33.194,-82.5271,41.0,52,6.91,1
91,Upernavik,3418910,72.7868,-56.1549,16.03,96,8.43,100
92,San Patricio,4726521,28.017,-97.5169,44.6,57,8.05,1
93,Hofn,2630299,64.2539,-15.2082,39.52,94,19.6,100
94,Ghanzi,933759,-21.5667,21.7833,77.5,58,4.81,100
95,Chicama,3698359,-7.8447,-79.1469,70.81,78,4.0,100
96,Vila Velha,3445026,-20.3297,-40.2925,73.99,94,3.44,75
97,Leningradskiy,2123814,69.3833,178.4167,-14.33,88,5.64,100
98,Ribeira Grande,3372707,38.5167,-28.7,60.87,82,8.88,63
99,Bahir Dar,342884,11.5936,37.3908,69.22,36,4.21,5
100,Clyde River,5924351,70.4692,-68.5914,3.2,92,0.16,90
101,Iracoubo,3381428,5.4802,-53.2011,77.38,86,13.85,91
102,Geraldton,2070998,-28.7667,114.6,102.2,21,17.27,0
103,Sitka,5557293,57.0531,-135.33,42.8,81,9.22,90
104,Lindi,878281,-10.0,39.7167,82.08,79,6.02,75
105,Bria,239899,6.5423,21.9863,68.13,28,4.76,66
106,Nouadhibou,2377457,20.931,-17.0347,59.0,41,23.02,0
107,Bubaque,2374583,11.2833,-15.8333,76.93,66,9.17,4
108,Hilo,5855927,19.7297,-155.09,75.2,73,3.44,90
109,Maniitsoq,3421982,65.4167,-52.9,17.29,83,6.82,14
110,Necochea,3430443,-38.5473,-58.7368,69.01,90,7.81,22
111,Innisfail,2162683,-17.5333,146.0333,82.65,76,9.15,100
112,Igunga,159386,-4.2833,33.8833,67.44,87,6.67,17
113,Kloulklubed,7671223,7.0419,134.2556,82.4,83,9.22,90
114,Oranjestad,3577154,12.524,-70.027,78.8,83,12.66,20
115,Zhigansk,2012530,66.7697,123.3711,-34.8,80,1.19,100
116,Antigonish,5886182,45.6169,-61.9986,30.99,79,1.99,91
117,Bredasdorp,1015776,-34.5322,20.0403,68.0,64,11.5,0
118,Forestville,4355274,38.8451,-76.875,46.99,100,5.75,90
119,Serenje,898912,-13.2325,30.2352,62.71,91,7.65,100
120,Hong Kong,1819729,22.2855,114.1577,73.0,68,1.99,39
121,Tuktoyaktuk,6170031,69.4541,-133.0374,-11.2,84,14.97,90
122,Vaini,4032243,-21.2,-175.2,84.2,79,8.05,75
123,Nanortalik,3421765,60.1432,-45.2371,22.84,93,3.33,83
124,Sukhobuzimskoye,1490711,56.5,93.2728,3.2,72,2.24,40
125,Turaif,101312,31.6725,38.6637,37.4,100,6.91,0
126,Tuatapere,2180815,-46.1333,167.6833,74.25,42,4.21,44
127,Phang Nga,1151464,8.4509,98.5298,87.8,65,8.05,75
128,Chanthaburi,1611268,12.8333,102.1667,93.0,58,0.94,0
129,Tall Kayf,303750,37.0833,41.0667,46.4,81,13.8,40
130,Chokurdakh,2126123,70.6333,147.9167,-6.95,91,9.04,100
131,Carnarvon,2074865,-24.8667,113.6333,89.6,62,17.27,0
132,Maragogi,3395458,-9.0122,-35.2225,75.83,79,7.47,100
133,São Brás de Alportel,2263377,37.1531,-7.8875,39.2,93,2.3,0
134,Yangi Marg`ilon,1513491,40.4272,71.7189,48.2,43,0.63,0
135,Saskylakh,2017155,71.9167,114.0833,-14.48,88,8.41,100
136,Atuona,4020109,-9.8,-139.0333,77.77,78,12.1,3
137,Prokuplje,786690,43.2342,21.5881,28.4,74,13.8,90
138,Creston,4853078,41.0586,-94.3614,28.4,100,25.32,90
139,Esim,2303611,4.8699,-2.2405,77.97,85,6.02,94
140,Maku,14177,39.2911,44.4521,33.64,79,6.93,9
141,Sangar,2017215,63.9242,127.4739,-47.29,76,2.77,82
142,Santa Cruz de la Sierra,3904906,-17.8,-63.1667,75.2,94,11.5,75
143,Arang,1278458,21.2,81.9667,77.45,20,2.33,0
144,Cabo San Lucas,3985710,22.8909,-109.9124,59.0,51,6.91,1
145,Ostrovnoy,556268,68.0531,39.5131,12.63,95,9.95,88
146,Omboué,2396853,-1.5746,9.2618,76.64,88,4.74,23
147,Puerto Ayora,3652764,-0.7393,-90.3518,73.99,96,7.47,98
148,Jurbarkas,598655,55.0778,22.7664,12.29,96,2.93,90
149,Oussouye,2246901,12.485,-16.5469,66.04,26,6.67,88
150,Arrondissement de Montargis,2993023,47.8333,2.75,30.99,98,3.0,97
151,Mórrope,3694586,-6.5417,-80.0111,72.75,71,7.63,100
152,Mareeba,2158767,-17.0,145.4333,86.0,70,10.36,90
