,City,ID,Latitude,Longitude,Max Temp,Humidity,Wind Speed,Cloudiness
0,Nichinan,1855476,31.6,131.3667,42.8,75,5.75,20
1,George Town,1735106,5.4112,100.3354,78.01,83,7.31,20
3,DeLand,4152890,29.0283,-81.3031,59.0,82,5.75,90
4,Dikson,1507390,73.5069,80.5464,-13.23,90,8.23,4
5,Andenes,3163146,69.3143,16.1194,28.0,63,6.91,11
8,San Patricio,4726521,28.017,-97.5169,45.0,70,5.75,90
9,Tuktoyaktuk,6170031,69.4541,-133.0374,-2.2,84,17.27,40
11,Rio Rancho,5487811,35.2334,-106.6645,39.99,28,1.01,0
12,Meulaboh,1214488,4.1363,96.1285,76.91,83,4.05,43
17,Baracoa,3567834,20.3467,-74.4958,75.72,85,7.4,96
19,Pevek,2122090,69.7008,170.3133,-26.05,87,1.45,100
20,Thompson,6165406,55.7435,-97.8558,26.6,100,4.61,90
22,Kapaa,5848280,22.0752,-159.319,80.01,73,6.91,1
23,Lagoa,3372964,39.05,-27.9833,60.06,87,10.13,0
24,Salalah,286621,17.0151,54.0924,71.6,37,17.27,0
25,Praia da Vitória,3372760,38.7333,-27.0667,60.01,94,6.64,75
26,Marabba,370510,12.35,32.1833,70.83,31,11.81,24
27,Yellowknife,6185377,62.456,-114.3525,3.99,85,3.44,40
30,Nome,5870133,64.5011,-165.4064,14.0,73,5.03,90
31,Ust'-Kulom,478050,61.6864,53.6902,-11.49,86,1.97,82
32,Albany,5106841,42.6001,-73.9662,32.0,72,4.32,47
34,Saint Paul Harbor,5866583,57.79,-152.4072,35.6,93,9.6,90
35,Cayenne,3382160,4.9333,-52.3333,77.0,94,3.44,90
36,Qaanaaq,3831208,77.484,-69.3632,7.56,89,5.08,100
37,Nikolskoye,546105,59.7035,30.7861,7.0,85,20.13,75
38,Paamiut,3421193,61.994,-49.6678,24.98,96,18.01,100
39,Nanortalik,3421765,60.1432,-45.2371,31.6,96,5.32,100
40,Ust-Nera,2120048,64.5667,143.2,-24.54,76,3.04,100
41,Ponta Delgada,3372783,37.7333,-25.6667,59.0,94,12.66,40
42,Dingle,1714733,10.9995,122.6711,76.59,81,14.5,100
43,Belaya Gora,2126785,68.5333,146.4167,-42.88,81,1.61,30
44,Kuytun,2021093,54.3419,101.5036,-16.19,88,5.41,100
45,Lewisporte,6053446,49.2499,-55.0482,24.8,86,4.61,90
46,Akdepe,601551,42.0551,59.3788,23.0,93,6.91,0
48,Ajdabiya,89113,30.7554,20.2263,60.4,60,21.74,100
49,Aklavik,5882953,68.2191,-135.0107,1.4,85,3.44,100
50,Fortuna,5563839,40.5982,-124.1573,57.99,94,19.57,90
52,Tumpat,1736356,6.1978,102.171,75.2,88,3.44,20
53,Tiznit Province,2527087,29.5833,-9.5,49.46,49,7.14,0
54,Dvinskoy Bereznik,577240,62.8551,42.7072,-15.52,87,2.77,48
55,Zhigansk,2012530,66.7697,123.3711,-39.91,80,12.73,100
58,Sinnamary,3380290,5.3833,-52.95,76.75,88,11.43,100
59,Tran,726307,42.8353,22.6517,32.0,86,13.8,90
60,Melenki,527740,55.3343,41.6295,-3.66,92,5.46,99
61,Buluang,1722803,13.3068,123.3425,77.13,74,6.62,96
63,Merrill,5262680,45.1805,-89.6835,26.6,93,9.22,90
64,Bintulu,1737486,3.1667,113.0333,78.8,94,3.51,40
65,Chapais,5919850,49.7834,-74.8492,23.0,93,8.05,90
