,City,ID,Latitude,Longitude,Max Temp,Humidity,Wind Speed,Cloudiness
0,Nichinan,1855476,31.6,131.3667,42.8,75,5.75,20
1,George Town,1735106,5.4112,100.3354,78.01,83,7.31,20
2,Atuona,4020109,-9.8,-139.0333,77.95,78,15.59,35
3,DeLand,4152890,29.0283,-81.3031,59.0,82,5.75,90
4,Dikson,1507390,73.5069,80.5464,-13.23,90,8.23,4
5,Andenes,3163146,69.3143,16.1194,28.0,63,6.91,11
6,Port Elizabeth,964420,-33.918,25.5701,69.8,88,5.75,90
7,Hobart,2163355,-42.8794,147.3294,79.0,43,9.22,20
8,San Patricio,4726521,28.017,-97.5169,45.0,70,5.75,90
9,Tuktoyaktuk,6170031,69.4541,-133.0374,-2.2,84,17.27,40
10,Mataura,6201424,-46.1927,168.8643,77.0,45,3.76,100
11,Rio Rancho,5487811,35.2334,-106.6645,39.99,28,1.01,0
12,Meulaboh,1214488,4.1363,96.1285,76.91,83,4.05,43
13,Rikitea,4030556,-23.1203,-134.9692,78.03,79,16.51,7
14,Mahébourg,934322,-20.4081,57.7,78.8,83,14.97,75
15,Puerto Ayora,3652764,-0.7393,-90.3518,75.0,93,3.0,99
16,Mount Gambier,2156643,-37.8333,140.7667,71.6,43,3.44,91
17,Baracoa,3567834,20.3467,-74.4958,75.72,85,7.4,96
18,Kruisfontein,986717,-34.0033,24.7314,69.01,90,1.99,99
19,Pevek,2122090,69.7008,170.3133,-26.05,87,1.45,100
20,Thompson,6165406,55.7435,-97.8558,26.6,100,4.61,90
21,Tuatapere,2180815,-46.1333,167.6833,75.04,42,2.06,0
22,Kapaa,5848280,22.0752,-159.319,80.01,73,6.91,1
23,Lagoa,3372964,39.05,-27.9833,60.06,87,10.13,0
24,Salalah,286621,17.0151,54.0924,71.6,37,17.27,0
25,Praia da Vitória,3372760,38.7333,-27.0667,60.01,94,6.64,75
26,Marabba,370510,12.35,32.1833,70.83,31,11.81,24
27,Yellowknife,6185377,62.456,-114.3525,3.99,85,3.44,40
28,Hermanus,3366880,-34.4187,19.2345,71.01,86,4.0,90
29,Vaini,4032243,-21.2,-175.2,86.0,74,11.5,75
30,Nome,5870133,64.5011,-165.4064,14.0,73,5.03,90
31,Ust'-Kulom,478050,61.6864,53.6902,-11.49,86,1.97,82
32,Albany,5106841,42.6001,-73.9662,32.0,72,4.32,47
33,New Norfolk,2155415,-42.7826,147.0587,79.0,41,3.0,0
34,Saint Paul Harbor,5866583,57.79,-152.4072,35.6,93,9.6,90
35,Cayenne,3382160,4.9333,-52.3333,77.0,94,3.44,90
36,Qaanaaq,3831208,77.484,-69.3632,7.56,89,5.08,100
37,Nikolskoye,546105,59.7035,30.7861,7.0,85,20.13,75
38,Paamiut,3421193,61.994,-49.6678,24.98,96,18.01,100
39,Nanortalik,3421765,60.1432,-45.2371,31.6,96,5.32,100
40,Ust-Nera,2120048,64.5667,143.2,-24.54,76,3.04,100
41,Ponta Delgada,3372783,37.7333,-25.6667,59.0,94,12.66,40
42,Dingle,1714733,10.9995,122.6711,76.59,81,14.5,100
43,Belaya Gora,2126785,68.5333,146.4167,-42.88,81,1.61,30
44,Kuytun,2021093,54.3419,101.5036,-16.19,88,5.41,100
45,Lewisporte,6053446,49.2499,-55.0482,24.8,86,4.61,90
46,Akdepe,601551,42.0551,59.3788,23.0,93,6.91,0
47,Avarua,4035715,-21.2078,-159.775,86.0,66,19.57,75
